 l/p | Location / People - Description
  
 +/+ | Borneo /  - The subterranean Sarawak chamber is discovered in Borneo.
 +/+ |  / European Community,European Union - Greece enters the European Community, which later becomes the European Union.
 +/+ | Norway / Gro Harlem Brundtland,Prime Minister - Gro Harlem Brundtland becomes Prime Minister of Norway.
 -/+ | Olympiacos FC and 2 fans of AEK Athens / Olympiacos FC,AEK Athens,Karaiskaki Stadium - 19 fans of Olympiacos FC and 2 fans of AEK Athens die, and 54 are injured, after a stampede at the Karaiskaki Stadium in Pireus, possibly because Gate 7 does not open immediately after the end of the game.
 -/+ | by General Wojciech Jaruzelski / Polish Prime Minister Józef Pinkowski,General Wojciech Jaruzelski - Polish Prime Minister Józef Pinkowski resigns and is replaced by General Wojciech Jaruzelski.
 +/+ | the Las Vegas Hilton casino / Las Vegas Hilton - A fire at the Las Vegas Hilton hotel-casino kills 8 and injures 198.
 +/+ |  / Rupert Murdoch,Sunday Times - Rupert Murdoch buys The Times and The Sunday Times for £12 million.
 +/+ | Artane, Dublin, Ireland in the early hours /  - Stardust fire: A fire at the Stardust nightclub in Artane, Dublin, Ireland in the early hours kills 48 and injures 214.
 +/+ | Cambodia / Pol Pot - Australia withdraws recognition of the Pol Pot regime in Cambodia.
 -/+ | the Guardia Civil / Antonio Tejero,Guardia Civil,Spanish Congress,Leopoldo Calvo Sotelo,King Juan Carlos - Antonio Tejero, with members of the Guardia Civil, enters the Spanish Congress of Deputies and stops the session where Leopoldo Calvo Sotelo is about to be named president of the government. The coup d'état fails thanks to King Juan Carlos.
 +/+ | Corinth and the nearby towns of Loutraki, Kiato and Xylokastro /  - A powerful, magnitude 6.7 earthquake hits Athens, killing 16 people, injuring thousands and destroying several buildings, mostly in Corinth and the nearby towns of Loutraki, Kiato and Xylokastro.
 +/+ | Long Kesh prison / Bobby Sands,Provisional Irish Republican Army,Long Kesh - Bobby Sands, a Provisional Irish Republican Army member, begins a hunger strike for political status in Long Kesh prison (he dies May 5, the first of 10 men).
 +/+ |  / CBS Evening News,Walter Cronkite - After 19 years hosting the CBS Evening News, Walter Cronkite signs off for the last time.
 +/+ |  / Sir Geoffrey Howe - Sir Geoffrey Howe announces the British budget, which raises taxes in the middle of a recession.
 +/+ | Chile / Augusto Pinochet - Chilean military dictator Augusto Pinochet is sworn in as President of Chile for another 8-year term.
 +/- | Italy / Propaganda Due Masonic Lodge - In Italy the Propaganda Due Masonic Lodge is discovered.
 +/+ | the Space Shuttle Columbia / Space Shuttle Columbia - Three workers are killed and 5 injured during a test of the Space Shuttle Columbia.
 +/+ | London / British Social Democratic Party,Connaught Rooms - The British Social Democratic Party is launched at the Connaught Rooms in London.
 -/- |  / London Marathon - The first London Marathon starts with 7,500 runners.
 -/+ | by John Hinckley, Two police officers and Press Secretary James Brady are also wounded / U.S. President Ronald Reagan,John Hinckley,Press Secretary James Brady - U.S. President Ronald Reagan is shot in the chest outside a Washington, D.C. hotel by John Hinckley, Jr. Two police officers and Press Secretary James Brady are also wounded.
 -/+ | by Johnny Carson / Johnny Carson,Dorothy Chandler Pavilion,Los Angeles,Robert Redford,Best Picture,Best Director - The 53rd Academy Awards, hosted by Johnny Carson, are held at the Dorothy Chandler Pavilion in Los Angeles. Robert Redford's directorial debut in Ordinary People wins Best Picture and Best Director.
 -/+ |  /  - Daylight saving time is introduced in the USSR.
 -/+ | the British Labour Party / Tony Benn,Denis Healey,Deputy Leadership,British Labour Party - Tony Benn announces that he will challenge Denis Healey for the Deputy Leadership of the British Labour Party.
 -/+ |  / Bucks Fizz - The UK pop group Bucks Fizz wins the Eurovision Song Contest 1981 with the song, Making Your Mind Up.
 -/+ |  / Bobby Sands,South Tyrone - IRA hunger-striker Bobby Sands wins the Fermanagh and South Tyrone by-election.
 +/- | South London / South London - Brixton riot (1981): Rioters in South London throw petrol bombs, attack police and loot shops.
 +/+ | Earth / Space Shuttle,Robert Crippen ,John Young,Robert Crippen - The Space Shuttle program: Space Shuttle Columbia (John Young, Robert Crippen) launches on the STS-1 mission, returning to Earth on April 14.
 -/+ |  / Foreign Minister Andrew Peacock,Prime Minister Fraser - The Australian Foreign Minister Andrew Peacock resigns from the cabinet, accusing Prime Minister Fraser of gross disloyalty.
 +/- | between the Rochester Red Wings / Minor League Baseball,Rochester Red Wings,Pawtucket Red,McCoy Stadium,Rhode Island - A Minor League Baseball game between the Rochester Red Wings and the Pawtucket Red Sox at McCoy Stadium in Pawtucket, Rhode Island, becomes the longest professional baseball game in history: 8 hours and 25 minutes/33 innings (the 33rd inning is not played until June 23).
 -/- |  /  - The rock band Yes splits up (regrouping in 1983).
 -/+ | between ry Giscard Estaing and ois Mitterrand / Valéry Giscard - French presidential election: A first-round runoff results between Valéry Giscard d'Estaing and François Mitterrand.
 +/+ | the Amazon Basin / Daniel K. Ludwig,Amazon Basin - Daniel K. Ludwig abandons the Jari project in the Amazon Basin.
 +/+ |  /  - The new Chilean pension system, based on private pension funds, begins.
 -/+ | the House / Bobby Sands,Provisional Irish Republican Army,United Kingdom,HM Prison Maze - Bobby Sands, Provisional Irish Republican Army volunteer and elected member of the House of Commons of the United Kingdom, dies aged 27 while on hunger strike in HM Prison Maze.
 -/+ | for the Vietnam Veterans Memorial / Maya Lin,Vietnam Veterans Memorial - A jury of architects and sculptors unanimously selects Maya Lin's design for the Vietnam Veterans Memorial from 1,421 other entries.
 -/+ | On May 8 / Greater London Council,Ken Livingstone - The Greater London Council election results in a small Labour majority. On May 8, Ken Livingstone becomes Leader of the Council.
 +/+ | France / François Mitterrand,Valéry Giscard d' Estaing - In the second round of the presidential elections in France, François Mitterrand beats Valéry Giscard d'Estaing.
 +/+ | Italy /  - In Italy a popular referendum rejects the abrogation of the law allowing abortion.
 -/+ | by Mehmet Ali A ca, a Turkish gunman, as he enters Peter s Square in Rome to address a general audience / Pope John Paul II,Mehmet Ali A,St. Peter - Pope John Paul II is shot and nearly killed by Mehmet Ali Ağca, a Turkish gunman, as he enters St. Peter's Square in Rome to address a general audience.
 +/+ | the United States / Donna Payant,Lemuel Smith - Donna Payant is murdered by serial killer Lemuel Smith, the first time a female prison officer has been killed on-duty in the United States.
 +/- | France /  - In France, Socialist François Mitterrand becomes President.
 +/+ |  / Peter Sutcliffe,Yorkshire Ripper - Peter Sutcliffe is found guilty of being the Yorkshire Ripper. He is sentenced to life imprisonment on 13 counts of murder and 7 of attempted murder.
 +/+ | Riyadh / Gulf Cooperation Council,Saudi Arabia,United Arab - In Riyadh, the Gulf Cooperation Council is created between Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and the United Arab Emirates.
 +/- |  /  - The Italian government resigns over its links to the fascist Masonic cell Propaganda Due.
 +/+ | Chittagong / Bangladesh President Ziaur Rahman - Bangladesh President Ziaur Rahman is assassinated in Chittagong.
 -/- | for Disease Control and Prevention / Disease Control,Los Angeles - The Centers for Disease Control and Prevention report that 5 homosexual men in Los Angeles, California have a rare form of pneumonia seen only in patients with weakened immune systems (the first recognized cases of AIDS).
 +/- | Bihar, India / River Kosi - Bihar train disaster: Seven coaches of an overcrowded passenger train fall off the tracks into the River Kosi in Bihar, India; about 800 die.
 -/+ |  / Israeli Air Force - The Israeli Air Force destroys Iraq's Osirak nuclear reactor.
 +/+ |  / Major League Baseball - Major League Baseball goes on strike, forcing the cancellation of 38 percent of the schedule.
 +/+ | London / Marcus Sarjeant,Queen Elizabeth II,United Kingdom - At the Trooping the Colour ceremony in London, Marcus Sarjeant fires 6 blank shots at Queen Elizabeth II of the United Kingdom.
 +/- | Eastern Caribbean States / Eastern Caribbean - Organization of Eastern Caribbean States founded.
 -/+ | the Atlanta child murders / Wayne Williams,African American - Wayne Williams, a 23-year-old African American, is arrested and charged with the murders of 2 other African Americans. He is later accused of 28 others, in the Atlanta child murders.
